Ruta C6-013
Carrera 42b - Calle 101a
"Colegio Santa Cruz (Cl 103 - Cr 42c, Medellín)"
"Br. Santa Cruz (Cr 43a - Cl 103, Medellín)"
"Br. Villa Del Socorro (Cr 46a - Cl 104, Medellín)"
"Carrera 48, 103b1-103b35"
"Carrera 48a, 103c2-103c36"
Cra 49 B Con Cll 103b
Cra 49 B Con Cll 98a
Cll 98 - Cra 49b
"Calle 98, 50aa2, I.E. República Honduras"
"Estación Tricentenario (Cr 55 - Cl 97a, Medellín)"
"Calle 98, 50aa1, I.E. República Honduras"
Cll 98 - Cra 49b
"Iglesia Nuestra Señora De La Asunción (Cr 49 - Cl 98a, Medellín)"
Cll 103 Con Cra 49b
"Carrera 48a, 103b1-103b37"
"Carrera 48, 103a2-103a34"
Cra 46a Con Cll 104
Carrera 43a - Calle 103
"Colegio Santa Cruz (Cl 103 - Cr 42c, Medellín)"
Carrera 42c - Calle 101a
Carrera 42b - Calle 101a
