RUTA 310I
"Terminal Coonatra Calasanz (Cl 55 - Cr 99)"
"Cl. 55 # 99-6"
"Calle 55 99-6"
"Cl. 57 #110"
"Calle 57 97b110"
"Cl. 57"
"Calle 56, 90-153"
"Olaya Herrera"
"Carrera 92"
"El Pesebre"
"Calle 54 86a60"
"Cl. 54 #86-167 a 86-37"
"Calle 53b, 85e-31"
"Cra. 85e #53b-2 a 53b-14"
"Calle 53b, 85e-31"
"Cl. 51"
"Calle 51, 84-276"
"Cl. 51 #84-120 a 84-146"
"Calle 51, 84147-84199"
"Cra. 84 #20"
"Carrera 84, 50a1"
"Cra. 84 #112 a 28"
"Carrera 86, 49e251"
"Cra. 86 #49e-96 a 49e-160"
"Carrera 86, 49dd-115"
"Cra. 86 #49dd-124 a 49dd-216"
"Centro De Salud Santa Rosa De Lima"
"Cra. 86 #38"
"Calle 48bb, 86c2-86c40"
"Cl. 47F # 86-13"
"Estación Santa Lucía Cl 47dd"
"Cl. 48E #86-7 a 86-1"
"Carrera 86, 49dd20-49dd48"
"Cra. 86 #49dd-124 a 49dd-216"
"Carrera 86, 49dd124-49dd216"
"Cra. 86 #49e-162 a 49e-282"
"Carrera 86, 49e284-49e318"
"Cra. 84 #50A-28"
"Carrera 84, 50a2-50a176"
"Cl. 51 #83-146 a 83-198"
"Calle 51, 84-276"
"Cl. 51 #84-148 a 84-214"
"Calle 51, 84-276"
"Cl. 51"
"Calle 53b, 85e33-85e45"
"El Pesebre"
"Calle 53d, 85e-46"
"Cl. 54 #86-167 a 86-37"
"Calle 54 86a60"
"El Pesebre"
"Calle 57 D # 85e-90"
"Cra. 86B"
"Calasanz Alto"
"Cl. 57"
"Terminal Coonatra Calasanz (Cl 55 - Cr 99)"
