RUTA 317I
"Calle 50, 40, Estación Itagüí Buses"
"Cl. 51 # 40-28"
"Autopista Sur, Secretaría De Tránsito Itagüí"
"Av37b # 38 #a 12"
"Calle 36, 50a106, Cervecería Unión"
"Cl. 36 #53a-2 a 53a-156"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #58-2 a 58-82"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #61-36"
"Cl 36"
"Cl. 36 # 65-140"
"Calle 36, 6444"
"Cl. 36 #69-33 a 69-15"
"Calle 55 Sur, 56 A-32"
"Calle 55 Sur # 56A-34"
"Calle 55 Sur, 56 A-32"
"Cl. 55 Sur # 60A-26"
"Calle 55 Sur, 60a, Iglesia Del Limonar"
"Cl 40B Sur #3a-27 a 3a-1"
"Carrera 62, 31, Ie Fé Y Alegría"
"Cl. 57 Sur # 62B-34"
"Calle 56a Sur, Ie Fe Y Alegria"
"Carrera 64D #3-31 a 3-1"
"Calle 57 Sur, Jardín Infantil El Buen Comienzo"
"Cl. 57 Sur #1b Este-144 a 1b Este-134"
"Calle 57 Sur, 1b Este28"
"Cl. 56 Sur"
"Calle 56 Sur, Urb Prados Del Campo 2"
"Cl. 56 Sur"
"Calle 56 Sur, 34"
"Cra. 75 #3-162 a 3-216"
"Carrera 75, 3218"
"Cra. 75 #4c-108 a 4c-264"
"Carrera 75, Uva El Paraiso"
"Cra. 75 # 45 SUR-90"
"Carrera 75, 5d2"
"Cra. 78 # 43 SUR-6"
"Calle 42 Sur, 774"
"Cl. 43 Sur #9-83 a 9-47"
"Calle 44 Sur, 81"
"Cra. 78"
"Carrera 78"
"Cl. 48 Sur # 67a - 22"
"Carrera 75, Parroquia Barichara"
"Cl. 56 Sur"
"Calle 56 Sur, Urb Prados Del Campo 2"
"Cl. 56 Sur"
"Calle 57 Sur, 1b Este27"
"Cl. 57 Sur #1b Este-316 a 1b Este-218"
"Calle 57 Sur, Ie Fe Y Alegria"
"Cl. 57 Sur # 62B-42"
"Carrera 62, 32, Ie Fé Y Alegría"
"Cl 40B Sur #3a-27 a 3a-1"
"Carrera 62, 3a, Iglesia Del Limonar"
"Cl. 55 Sur #14"
"Calle 55 Sur, 60a-16"
"Cl. 55 Sur # 58-22"
"Calle 55 Sur, 56 A-32"
"Cl. 55 Sur # 55-144"
"Calle 55 Sur, 56 A-32"
"Cl. 4 #12 Este-136 a 12 Este-46"
"Calle 36, Parroquia San Gabriel Arcángel"
"Cl. 36 #68-55 a 68-43"
"Calle 36, 651"
"Cl. 36 #64-77 a 64-1"
"Calle 36, 6145"
"Cl. 35 #61149,"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #54a-2 a 54a-62"
"Carrera 50a, Cervecería Unión"
"Carrera 50A"
"Calle 39, Éxito Itagüí"
"Cra. 47 #49-95 a 49-75"
"Calle 50, 40, Estación Itagüí Buses"
