RUTA 311II
"Estación Santa Lucía Cl 47dd"
"Cra. 87 #47E"
"Carrera 86, 49dd20-49dd48"
"Cra. 86 #49a-15 a 49a-1"
"Carrera 86, 49dd124-49dd216"
"Cra. 86 #49dd-124 a 49dd-216"
"Calle 49f, 8793, Campo Verde"
"Cra. 87"
"Calle 50a 86-295"
"Cra. 86 #49e-162 a 49e-282"
"Calle 50a, 86-450"
"Cl 50A #86-52"
"Calle 50 96c-90"
"C. 50 #90 a 96"
"Calle 49 Gb 97-30"
"C. 50 #90 a 96"
"Calle 49b 140"
"C. 50"
"Carrera 96c 50a-220"
"Calle 50 con calle 50a"
"Carrera 96c 50a - 31"
"Cra. 96c #50"
"Carrera 92cc 40"
"Cra. 92cc #40"
"Calle 54 86c-220"
"Cra. 97"
"Carrera 86c 53c-112"
"Cl. 54 #220"
"Calle 50a # 96-165"
"Cra. 96c #50"
"Calle 50a # 07-215"
"Cl 50A #115 a 149"
"Carrera 98 50a 30"
"Cl 50A #98"
"Urb. El Rosal (Cl 50a - Cr 97)"
"Cl 50A #98"
"Carrera 98 50a 30"
"Cl 50A #98"
"Calle 50a # 07-215"
"Cl 50A #115 a 149"
"Calle 50a # 96-165"
"Cra. 96c #50"
"Carrera 86c 53c-112"
"Cl. 54 #220"
"Calle 54 86c-220"
"Cra. 97"
"Carrera 92cc 40"
"Cra. 92cc #40"
"Carrera 96c 50a - 31"
"Cra. 96c #50"
"Carrera 96c 50a-220"
"Calle 50 con calle 50a"
"Calle 49b 140"
"C. 50"
"Calle 49 Gb 97-30"
"C. 50 #90 a 96"
"Calle 50 96c-90"
"C. 50 #90 a 96"
"Calle 50a 86-444"
"Cl 50A #86-139 a 86-71"
"Calle 50a 86-295"
"Cra. 86 #49e-162 a 49e-282"
"Carrera 86, 49e251"
"Cl 50A #84-204 a 84-308"
"Calle 49f, 8793, Campo Verde"
"Cl. 49e #86-12 a 86-104"
"Carrera 86, 49dd-115"
"Cra. 87"
"Centro De Salud Santa Rosa De Lima"
"Cra. 86 #49dd-124 a 49dd-216"
"Calle 48bb, 86c2-86c40"
"Cl. 47F # 86-27"
"Estación Santa Lucía Cl 47dd"
