RUTA 142I
"Calle 9 sur, 54e, Urb Quintas Del Rodeo"
"calle 10 sur #55a-13"
"Carrera 55d, 11-22"
"calle 11c sur, 55-6"
"calle 11c sur, 5518"
"calle 11c sur, 53f18"
"calle 11b sur, 53ee-21"
"calle 11b sur, 53a-2 a 53a- 38"
"carrera 53bb, 11ff sur 62"
"carrera 53"
"carrera 53 #13b sur- 3 a 13b sur-9"
"calle 13c sur, Urb Alfarera"
"calle 13 sur, 54 c"
"calle 12c sur #53-237"
"carrera 52 #11 sur 90"
"Aguacatala"
"calle 12 sur #50gg-69 a 50gg-3"
"fabrica de licores y alcoholes de antioquia (CL 12 sur - kr 50c, medellin)"
"calle 12 sur #70-12"
"estacion aguacatala (kr 48- CL 12 sur, medellin)"
"calle 89 #42- 391 a 42- 1"
"Br. San Fernando (Cl 89 - Kr 49, Medellín)"
"carrera 51 # 12 b"
"calle 12 sur #52- 2 a 52-18"
"Calle 12 Sur, 52b150"
"carrera 53"
"Calle 13c Sur, Urb Alfarera"
"carrera 53 #13b sur- 3 a 13b sur-9"
"carrera 53"
"Carrera 53bb, 11ff Sur62"
"calle 11b sur, 53a-2 a 53a- 38"
"Calle 11b Sur, 53ee2"
"calle 11c sur, 53f18"
"Calle 11c Sur, 55-6"
"calle 11c sur, 5518"
"Calle 10a Sur, #55a-20"
"calle 10 sur #55a-13"
"Calle 9 Sur, 54e, Urb Quintas Del Rodeo"
