RUTA 318I
"Cootrasana"
"Cra. 75B #10-123 a 10-1"
"Calle 42 Sur, 774"
"Cra. 81 #43 Sur 38"
"Calle 43a Sur, 6a120"
"Cl. 43A Sur # 75B-12"
"Calle 43a Sur, 610"
"Cl. 43A Sur #5-88 a 5-114"
"Itagüí-San Antonio De Prado, Colegio Empresarial"
"Cra. 72 # 40A SUR-8"
"Calle 41 Sur, 1239"
"Cl. 40A Sur # 67-30"
"Carrera 67, 41a Sur"
"Cra. 67 # 41C SUR-40"
"Calle 42 Sur, 1a Este, Ferretería Gran Palacio"
"Cl. 42 Sur #2 Este-98 a 2 Este-30"
"Calle 42 Sur, 2 Este29"
"Cl. 42 Sur #2 Este-184 a 2 Este-130"
"Calle 42 Sur, 3b Este1"
"Cra. 63B #9c-22 a 9c-40"
"Carrera 63, 1040"
"Dg. 60E # 41C SUR-67"
"Calle 8, 7a Este71"
"Cra. 58 #43-97"
"Avenida San Antonio, 10 Este2"
"Cra. 55 # 47 SUR-42"
"Carrera 12 Este, Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5a-179 a 5a-123"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 55 # 53 SUR-50"
"Carrera 12 Este, 42"
"Cl. 4 #12 Este-45 a 12 Este-135"
"Calle 36, Parroquia San Gabriel Arcángel"
"Cl. 35d #69b-113 a 69b-79"
"Calle 36, 651"
"Cl. 36 #65-2 a 65-198"
"Calle 36, 6145"
"Cl. 35 #61149"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #54a-2 a 54a-62"
"Calle 36, 45-35"
"Cl. 37b #42-293"
"Autopista Sur, 29a1"
"Autopista Sur #27-281 a 27-75"
"Calle 27, Estación Sabaneta Buses"
"Cl. 37b #43 31"
"Calle 36, 50a106, Cervecería Unión"
"Cra. 53 #36-31"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #58-2 a 58-82"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #61-105 a 61-43"
"Cl 36"
"Cl. 36 #64-79 a 64-45"
"Calle 36, 6444"
"Cl. 36 # 69D-42"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5ac-39 a 5ac-1"
"Calle 48c Sur, 11 Este, , Ie Ángela Restrepo Moreno"
"Cl. 47 Sur #10 Este-99 a 10 Este-245"
"Avenida San Antonio, 10 Este2"
"Cra. 58 # 43 SUR-104"
"Carrera 58, 7c, Urb Parque Industrial Del Prado"
"Cl. 43 Sur # 58-14"
"Calle 8, 7b Este72"
"Cl. 38 Sur #41"
"Carrera 60d, 82"
"Dg. 60E # 41C SUR-35"
"Calle 10c, 7 Este, Ie Monseñor Victor Wiedemann"
"Cl. 41 Sur # 62-5"
"Calle 41 Sur, 6 Este2"
"Cra. 63 #10a-43 a 10a-1"
"Calle 42 Sur, 5 Este, Urb Aires Del Prado"
"Cl. 42 Sur #63b-37"
"Calle 42 Sur, 2 Este 31"
"Cl. 42 Sur #2 Este-184 a 2 Este-130"
"Calle 42 Sur, 2 Este30"
"Cl. 42 Sur #2 Este-98 a 2 Este-30"
"Calle 42 Sur, 2 Este, Ferretería Gran Palacio"
"Cra. 67 # 41C SUR-40"
"Carrera 67, 10a120"
"Cra. 67 #10d-81 a 10d-1"
"Carrera 67, 112"
"Itagüí-San Antonio de Prado #11a-110 a 11a-192"
"Carrera 3, 13a2"
"Cra. 70 # 37 SUR-30"
"Itagüí-San Antonio De Prado, 12163"
"Cl. 39C Sur"
"Itagüí-San Antonio De Prado, 111"
"Cra. 72 #10-86 a 10-200"
"Itagüí-San Antonio De Prado, Colegio Empresarial"
"Cl. 43A Sur # 72-32"
"Carrera 75, 8a1"
"Cl. 43A Sur # 75-70"
"Calle 43a Sur"
"Cl. 43A Sur #75 B 36"
"Calle 43a Sur"
"Cra. 79A # 42 SUR-4"
"Cootrasana"
