RUTA 319I
"Cootrasana"
"Cl. 43A Sur #5-131 a 5-115"
"Carrera 75, 8a1"
"Cl. 43A Sur # 75-64"
"Calle 43a Sur"
"Cl. 43A Sur # 77-6"
"Calle 43a Sur"
"Cra. 78 # 43 SUR-49"
"Calle 44 Sur, 81"
"Cl. 45 Sur # 76-34"
"Carrera 78"
"Carrera 75 # 45 Sur-171"
"Calle 48 Sur, Parque El Paraíso"
"Cl. 48 Sur #69-06"
"Calle 48 Sur, 2-60"
"Cra. 64B"
"Calle 48 Sur"
"Cl. 48 Sur # 64B-161"
"Calle 4db, 2b Este, Barrio El Limonar"
"Cl. 48 Sur"
"Carrera 59a, 5ab33"
"Cl. 48 Sur"
"Carrera 12 Este, Ie Ángela Restrepo Moreno"
"Cra. 55 # 48C SUR-19"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 55 # 53 SUR-11"
"Carrera 12 Este, 42"
"Cl. 4 #12 Este-45 a 12 Este-135"
"Calle 36, Parroquia San Gabriel Arcángel"
"Cl. 36 #68-55 a 68-43"
"Calle 36, 651"
"Cl. 36 #64-77 a 64-1"
"Calle 36, 6145"
"Cl. 35 #61-12 local 109"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #54-115 a 54-1"
"Calle 36, 45-35"
"Cl. 37b #42-155"
"Autopista Sur, 29a1"
"Autopista Sur #27-281 a 27-75"
"Calle 27, Estación Sabaneta Buses"
"Dg. 43 #34a-47 a 34a-1"
"Calle 36, 50a106, Cervecería Unión"
"Calle 36 # 54-4"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #58-2 a 58-82"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #61-40"
"Cl 36"
"Cl. 36 #64-79 a 64-45"
"Calle 36, 6444"
"Cl. 36 # 69D-36"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5a24"
"Calle 48c Sur, 11 Este, , Ie Ángela Restrepo Moreno"
"Cra. 55 # 48 SUR-6"
"Carrera 54f, 72"
"Cl. 47 Sur # 55-32"
"Avenida San Antonio, 10 Este2"
"Cl. 48 Sur"
"Calle 4db, 2b Este, Barrio El Limonar"
"Cl. 48 Sur # 64B-198"
"Calle 48 Sur"
"Cl. 48 Sur"
"Calle 48 Sur, Parque El Paraíso"
"Cra. 69 # 47B SUR-107"
"Carrera 75, Uva El Paraiso"
"Cl. 48 Sur # 72-50"
"Carrera 75, 5d2"
"Cra. 75 # 45 SUR-90"
"Cootrasana"
"Cl. 42A Sur # 76A-83"
