C6-001
"Estación Acevedo (Cr 52 - Cl 108, Medellín)"
"Colegio Finca La Mesa (Cr 52 - Cl 117, Medellín)"
"Urbanización Plaza Del Rio (Cl 123 - Cr 52, Medellín)"
"Hotel Las Olas (Cr 52 - Cl 125, Medellín)"
"Br. El Playón (Cl 20d - Cr 43c, Bello)"
"Br. Zamora (Cl 20d - Cr 42d, Bello)"
Carrera 42 # 20d-22
"Hospital Zamora (Cl 21 - Cr 42, Bello)"
"Br. Zamora (Cl 21 - Cr 41g, Bello)"
"Cancha Santa Rita (Cl 21 - Cr 41, Bello)"
"Parroquia Santa Rita (Cr 40a - Cl 21c, Bello)"
"Br. Santa Rita (Cl 21 - Cr 40c, Bello)"
"Br. Santa Rita (Cl 21c - Cr 40c, Bello)"
"Los Edificios (Cr 41g - Cl 20c, Bello)"
"Br. Zamora (Cl 21d - Cr 41e, Bello)"
"Hospital Zamora (Cl 21 - Cr 42, Bello)"
"Br. Zamora (Cl 20e - Cr 42c, Bello)"
"Br. Zamora (Cl 20e - Cr 44, Bello)"
"Hotel Las Olas (Cr 52 - Cl 125, Medellín)"
"Iglesia María Auxiliadora (Cr 52 - Cl 123a, Medellín)"
"Parque La Frontera (Cr 52 - Cl 117, Medellín)"
"Estación Acevedo (Cr 52 - Cl 108, Medellín)"
