RUTA C6-023
"Quebrada Santa Bárbara (Cl 51b - Cr 1bb, Medellín)"
"Br. Juan Pablo II (Cl 49a - Cr 2, Medellín)"
"Br. Juan Pablo II (Cl 49a - Cr 2bb, Medellín)"
"Colegio Arzobispo Tulio Botero Salazar (Cl 49a - Cr 3a, Medellín)"
"Br. Jesús (Cl 49a - Cr 5, Medellín)"
"Br. Jesús (Cl 49a - Cr 6a, Medellín)"
"Subestación Eléctrica De Miraflores (Cl 49 - Cr 7, Medellín)"
"Estación De Policía De Buenos Aires (Cl 49 - Cr 9b, Medellín)"
"Estación Oriente (Cl 49a - Cr 12, Medellín)"
