RUTA C3-001A
"Estación Aguacatala"
"Calle 11 Sur #50-222 a 50-248"
"Calle 12 Sur #50C-22"
"Avenida 80 #10 Sur-3 a 10 Sur-171"
"Universidad De Antioquia Sede Posgrado"
"6.200081654617692, -75.58467392052482"
"Br. Guayabal Avenida 80 - Calle 8 Sur"
"6.202490326713073, -75.58423836577174"
"Br. Guayabal Avenida 80 - Carrera 51"
"6.202674978539628, -75.58429019168905"
"Centro Comercial El Rodeo Avenida 80 - Carrera 52"
"6.204146752325685, -75.58651119456724"
"Cementerio Campos De Paz Avenida 80 - Carrera 67"
"Avenida 80 #3 Sur-1 a 3 Sur-137"
"Urbanización Kalamari Calle 1 - Diagonal 75d"
"6.210589657139565, -75.59466173018956"
"Br. La Mota Calle 1 Sur - Carrera 77a"
"Calle 1 #75d-76 a 75d-154, Belén"
"Br. Rodeo Carrera 79 - Calle 1 Sur"
"Calle 1 #77A-90"
"Urbanización Quintas De Marbella Carrera 79 - Calle 2b Sur"
"Carrera 79 # 1 Sur-145"
"Br. La Mota Calle 2b Sur - Carrera 75"
"Calle 2b Sur #78b-25 a 78b-1"
"Urbanización Los Cabos Carrera 75 - Calle 2a Sur"
"Carrera 75da con Calle 2b Sur Villas de la Mota"
"Urbanización Los Cabos Carrera 75 - Calle 6 Sur"
"6.20526755857972, -75.5996271198683"
"Br. La Mota Carrera 75 - Calle 2b Sur"
"Calle Arriba #70-117 a 70-1"
"Conjunto Residencial Mirador Del Rodeo Carrera 75 - Calle 2 Sur"
"Club El Rodeo Avenida 80 - Calle 1"
"6.2106093747084605, -75.59483852295791"
"Campos De Paz Avenida 80 - Carrera 67"
"Av. 80 #65-231 a 65-223, Guayabal"
"Capilla Campos De Paz Avenida 80 - Carrera 53"
"6.206884985091652, -75.59055356474597"
"Barrio Cristo Rey Avenida 80 Occidente"
"Calle 5 Sur #51-85"
"Br. Guayabal Avenida 80 - Calle 8 Sur"
"6°11'58.7""N 75°35'05.3""W"
"Br. Guayabal Avenida 80 Calle 10b Sur"
"Calle 12 Sur #50e20"
"Fábrica De Licores Y Alcoholes De Antioquia Calle 12 Sur - Carrera 50c"
"6.194898988017583, -75.5800842764217"
"Avenida Las Vegas Calle 15 Sur - Carrera 48"
"6.195626318740793, -75.58172454758595"
"Estación Aguacatala"
