RUTA C6-016
Carrera 37 - Calle 107e
"Carrera 37, 107a1"
"Calle 103, 36b2"
"Carrera 34, 1021"
Carrera 34 - Calle 100
Carrera 34 - Calle 95a
"Carrera 36, 91a37"
"Carrera 36, 87123"
"Carrera 36, 86b1-86b105"
"Carrera 39, 85a31"
"Carrera 39, 841"
"Carrera 39, #81-40"
"Carrera 39, 79a1"
Sena
"Br. Manrique Central (Cl 71a - Cr 41, Medellín)"
"Unidad Hospitalaria Manrique (Cl 67 - Cr 43, Medellín)"
"Estación Palos Verdes (Cr 45 - Cl 66, Medellín)"
"Estación Hospital (Cr 51 - Cl 67, Medellín)"
"Br. San Pedro (Cl 68 - Cr 49, Medellín)"
"Br. Manrique Central (Cl 68 - Cr 48, Medellín)"
"Iglesia Jesús De Las Misericordias (Cr 47 - Cl 67, Medellín)"
"Estación Palos Verdes (Cl 66 - Cr 45, Medellín)"
Carrera 43 - Calle 67
"Br. Manrique Central (Cr 41 - Cl 70a, Medellín)"
"Carrera 40, 7294"
"Carrera 40, 782"
Carrera 39 - Calle 79a
"Carrera 39, 812"
"Carrera 39, 842"
"Carrera 39, 85a31"
Carrera 36 - Calle 86b
"Carrera 36, 892"
Cra 36 - Cll - 92b
Carrera 34 - Calle 95a
Carrera 34 - Calle 100
"Carrera 34, 1022"
"Br. Granizal (Cl 104 - Cr 36b, Medellín)"
Carrera 37 - Calle 107
Carrera 37 - Calle 107e
"Carrera 37, 107a1"
"Calle 103, 36b2"
