RUTA C3-002
"Estación Aguacatala"
"Calle 89 #42-391 a 42-1"
"Br. San Fernando Calle 89 - Carrera 49"
"Calle 12 Sur #51-131 a 51-3"
"Br. Guayabal Carrera 51 - Calle 10 Sur"
"Carrera 51 #9 Sur-92 a 9 Sur-34"
"Br. Guayabal Carrera 51 - Calle 8 Sur"
"6.201735637379379, -75.58417163774796"
"Parroquia María Madre De Los Huérfanos Carrera 50e - Calle 7 Sur"
"Carrera 51 # 6 Sur-62"
"Centro Comercial El Rodeo Avenida 80 - Carrera 52"
"6.204256989776435, -75.58665708983897"
"Campos De Paz Avenida 80 - Carrera 67"
"6.207055976407302, -75.58898727634619"
"Clínica Las Américas Auna Carrera 70 - Calle 2"
"6.211416315728279, -75.594142089839"
"Br. Diego Echavarria Carrera 70 - Calle 9"
"Carrera 70 # 3-87"
"Aeroparque Juan Pablo II Carrera 70 - Calle 13"
"Carrera 70 #10a-57 a 10a-1"
"Aeroparque Juan Pablo II Carrera 70 - Calle 16"
"Carrera 70 #10a-57 a 10a-1"
"Br. San Bernardo Carrera 70 - Calle 24"
"Carrera 70 #16-291 a 16-229"
"Br. San Bernardo Carrera 70 - Calle 26"
"Carrera 70 #29-21"
"Estación Rosales Carrera 70 - Calle 30"
"Cra. 69C # 30C-41"
"Iglesia Jesús De La Buena Esperanza Sur - Norte"
"Cra. 70 # 32-126"
"Br. Belén Rosales Carrera 70 - Avenida Bolivariana"
"6.239311973055977, -75.59011454759019"
"Centro Comercial Unicentro Avenida. Bolivariana - Calel 34b"
"Calle 34 #101"
"Avenida 33 Con Carrera 66b"
"6.239591462461624, -75.58838237322126"
"Glorieta Bulerías Avenida 33 - Avenida Bolivariana"
"6.2387824728623, -75.5902446547665"
"Glorieta Bulerías Diagonal 74b - Calle 32f"
"Av. Bolivariana #32ee-2 a 32ee-88"
"Br. Rosales Avenida Bolivariana - Transversal 32d"
"Calle 32A #71-91 a 71-1"
"Br. Belén Rosales Carrera 70 - Calle 32a"
"Carrera 70 #30a152"
"Estación Rosales Carrera 70 - Calle 30"
"6.228651962393804, -75.59295737825462"
"Br. San Bernardo Carrera 70 - Calle 26"
"6.228651962393804, -75.59295737825462"
"Br. San Bernardo Carrera 70 - Calle 24"
"Carrera 70 #17-55 a 17-1"
"Aeroparque Juan Pablo II Carrera 70 - Calle 15"
"Carrera 70 #17-55 a 17-1"
"Aeroparque Juan Pablo II Carrera 70 - Calle 13"
"Carrera 70 #17-55 a 17-1"
"Br. Diego Echavarria Carrera 70 - Calle 9a"
"Carrera 70 #11-2 a 11-54"
"Clínica Las Américas Auna Carrera 70 - Calle 3"
"Carrera 70 #3-2 a 3-204"
"Club El Rodeo Avenida 80 - Calle 1"
"Carrera 70 con Calle 1"
"Campos De Paz Avenida 80 - Carrera 67"
"6.2103879747904935, -75.59439273407344"
"Capilla Campos De Paz Avenida 80 - Carrera 53"
"6.207515301099972, -75.59057363774347"
"Barrio Cristo Rey Avenida 80 Occidente"
"Calle 3 Sur #51-87 a 51-1"
"Br. Guayabal Avenida 80 - Calle 8 Sur"
"6.203249640418991, -75.58483437819612"
"Br. Guayabal Avenida 80 - Calle 10b Sur"
"6.198991315894702, -75.58492608988901"
"Fábrica De Licores Y Alcoholes De Antioquia Calle 12 Sur - Carrera 50c"
"6.19410348547895, -75.58236538990624"
"Estación Aguacatala"
