RUTA C6-025
Medellín-Santa Elena
Vía Sta Elena-Medellín
Cl 46
"Via Medellín-Via Santa Elena, 2ag56"
"Carrera 3b, 482-4884"
"Calle 49, 431"
"Subestación Eléctrica De Miraflores (Cl 49 - Cr 7, Medellín)"
"Via Medellín-Via Santa Elena, 11c2"
"Estación Oriente (Cl 49a - Cr 12, Medellín)"
"Estación De Policía De Buenos Aires (Cl 49 - Cr 9b, Medellín)"
"Subestación Eléctrica De Miraflores (Cl 45e - Cr 6c, Medellín)"
"Br. Jesús (Cr 6 - Cl 47a, Medellín)"
"Br. Jesús (Cl 48 - Cr 47, Medellín)"
"Br. 8 De Marzo (Cl 46 - Cr 2 Ag, Medellín)"
Cl 46 Con Cr 1aa
Medellín-Santa Elena
Vía Sta Elena-Medellín
Medellín-Santa Elena
