RUTA C6-018
"Calle 101b, 382"
"Carrera 42b, 101aa1"
"Calle 100a - Carrera 42c"
"Carrera 44 - Calle 97"
"Carrera 45a - Calle 96"
"Carrera 45a, 93-19"
"Calle 94, 482-4870"
"Colegio José Eusebio Caro (Cl 94 - Cr 50, Medellín)"
"Br. San Isidro (Cl 94 - Cr 50c, Medellín)"
"Br. San Isidro (Cr 52 - Cl 94, Medellín)"
"Estación Tricentenario (Cr 55 - Cl 97a, Medellín)"
"Puente Madre Laura (Cr 53 - Cl 93, Medellín)"
"Br. San Isidro (Cl 93 - Cr 51, Medellín)"
"Br. Aranjuez (Cl 93 - Cr 50b, Medellín)"
"Estación Parque De Aranjuez (Cr 49a - Cl 92, Medellín)"
"Br. Aranjuez (Cl 92 - Cr 48, Medellín)"
"Carrera 46 - Calle 92"
"Carrera 45a - Calle 93"
"Carrera 45a - Calle 96"
"Carrera 44 - Calle 97"
"Calle 100a - Carrera 42c"
"Carrera 42b - Calle 101a"
"Calle 101b, 382"
