RUTA C6-015
"Calle 100, 35a2"
"Carrera 37, 991"
"Carrera 37, 95a-90"
"Cra 38 - Cll 95a"
"Cra 42b - Cll 92"
"Cra 42b - Cll 91"
"Cra 42b - Cll 87"
"Carrera 43, 861"
"Calle 86, 44-01"
"Carrera 46, 851"
"Carrera 46, 831"
"Carrera 46, 79-52"
"Carrera 46, 79-52"
"Carrera 46, 731"
"Carrera 47, 701, I.E Altos De Prado"
"Calle 69, 48a-87"
"Estación San Pedro (Cl 67 - Cr 50, Medellín)"
"Estación Hospital Buses"
"Estación San Pedro (Cr 50 - Cl 66, Medellín)"
"Estación Palos Verdes (Cl 66 - Cr 45, Medellín)"
"Carrera 44, 68-12"
"Carrera 44, 70a-07"
"Carrera 44, 742, Casa Gardeliana"
"Carrera 44, 782"
"Carrera 44, 822"
"Carrera 43b, 842"
"Cra 42b - Cll 87"
"Cra 42b - Cll 92"
"Cra 42b - Cll 92"
"Calle 95a - Cra 38"
"Calle 95a, 37-2"
"Br. San Pablo (Cr 36 - Cl 97, Medellín)"
"Carrera 35a, 9956"
"Calle 100, 35a2"
