RUTA T4-027
"Urbanización Rodeo Alto (Cl 9a Sur - Kr 82, Medellín)"
"calle 9a sur #205 a202"
"Calle 9a Sur, 204"
"Cl. 9a Sur #205 a 202"
"Calle 9 Sur, 79c367"
"calle 9 sur #222 a 366"
"Urbanización Rodeo De Santa María (Cl 9 Sur - Kr 79c, Medellín)"
"calle 9 sur # 79A-5"
"Urbanización Rayo De Sol (Cl 9 Sur - Kr 78c, Medellín)"
"calle 9b sur"
"Urbanización Sol Del Rodeo (Cl 9b Sur - Kr 79c, Medellín)"
"calle 9b sur #221 a 23"
"Urbanización Rodeo Verde (Cl 9b Sur - Kr 79a, Medellín)"
"calle 9b sur #221 a 23"
"Urbanización Sol Del Rodeo (Cl 9b Sur - Kr 79c, Medellín)"
"calle 9b sur"
"Calle 9 Sur, 70-99"
"Cl. Arriba #70-18 a 70-242"
"Carrera 77, 79a-46"
"Cl. 9 Sur #61-28 a 61-52"
"Calle 9 Sur, 5621"
"Cl. 9 Sur #55d-83 a 55d-1"
"Calle 10 Sur, 32"
"Cra. 55D #10 Sur-1 a 10 Sur-55"
"Carrera 55d, 11-22"
"Cl. 11C Sur #55c-33 a 55c-1"
"Calle 11c Sur, 5518"
"Cl. 11C Sur # 54-88"
"Calle 11b Sur, 53a25"
"Cl. 11C Sur # 54-12"
"Calle 9 Sur, 52b, Cancha De Arena El Rodeo"
"Cra. 53 # 9B SUR-5"
"Centro Comercial El Rodeo (Av 80 - Kr 52, Medellín)"
"Av. Guayabal #6 Sur-201 a 6 Sur-267"
"Carrera 65 # 1a Sur-4"
"Cra. 56a #3 Sur-74 a 3 Sur-2"
"Carrera 65 # 1c-4"
"Cra. 65 # 1A-8"
"Carrera 65 ##5-16"
"Cra. 65 # 2B-58"
"Calle 8b 59a-3"
"Cra. 65 # 6-22"
"Aeropuerto Olaya Herrera"
"carrera 65"
"Carrera 65 # 16-72"
"Cra. 65 # 16-18"
"Carrera 65 23-61"
"Cra. 65 #20a-53 a 20a-1"
"Barrio Trininad Calle 25"
"Cra. 65 #2458"
"Carrera 65 # 27-26"
"Cra. 65 #25-94"
"Carrera 65 # 28-4"
"Cl. 28 #59-63 a 59-41"
"Carrera 65 29 D-08"
"Cra. 65 #29-2 a 29-190"
"Carrera 65 # 30-40"
"Cra. 65 #30-2 a 30-4"
"Carrera 65 # 30a-31"
"carrera 65"
"Carrera 65 # 38-5"
"careera 65"
"Carrera 65, 3968-39110"
"Cra. 65 #39-2 a 39-66"
"Carrera 65, 41108-41164"
"Cra. 65 #40-105 a 40-71"
"Br. San Joaquín (Cr 65 - Cl 43, Medellín)"
"Cra. 65 #44"
"Br. Naranjal (Cr 65 - Cl 47d, Medellín)"
"Cra. 65 # 44A-52"
"Br. Suramericana (Cr 65 - Cl 48, Medellín)"
"Cra. 65 #48-2 a 48-58"
"Br. Suramericana (Cr 65 - Cl 49b, Medellín)"
"Cra. 65 #48-144"
"Br. Suramericana (Cl 50 - Cr 64b, Medellín)"
"C. 50 # 64B-99"
"Carrera 57 # 49-143"
"Cra. 57 #49-73"
"Estación Cisneros (Av. Ferrocarril - Cl 49, Medellín)"
"Cra. 57 # 44A-7"
"Alpujarra"
"calle 44"
"Carrera 48 #43-06"
"carrera 49"
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
"Cra. 46 #44-79 a 44-1"
"Parque De Las Luces Calle 44, 52-70"
"Av San Juan"
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
"Av. Guayabal"
"Coordinadora Mercantil Calle 30a, 552-5564"
"Cl. 30A # 58-47"
"Calle 30 65"
"Cra. 65 #29 29"
"Calle 28 65-16"
"Cra. 65 #26-63"
"Barrio Antioquia Carrera 65, 25-41"
"Cra. 65A #24-2 a 24-76"
"Carrera 65, 23a1-23a133"
"Cra. 65 #23a-2 a 23a-134"
"Carrera 65, 21-9"
"Cra. 65 #18-49"
"Aeropuerto Olaya Herrera Carrera 65, 141-14215"
"Cra. 65 #14-2 a 14-216"
"Terminal Del Sur, Carrera 65, 14"
"Calle 10"
"Terminal Del Sur Cra. 65"
"Cra. 65 #7-58"
"Carrera 65 ##5-16"
"Cra. 65 #2-2 a 2-112"
"Calle 2 Sur 65-155"
"90141039"
"Capilla Campos De Paz (Av 80 - Kr 53, Medellín)"
"Av. Guayabal #6 Sur-1 a 6 Sur-65"
"San Rafael"
"Cl. 9 Sur # 52-68"
"Calle 11b Sur, 53ee2"
"Cra. 53 # 9B SUR-26"
"Calle 11c Sur, 55-6"
"Cl. 11C Sur # 54-30"
"Calle 10a Sur, #55a-20"
"Cl. 11C Sur #55c-33 a 55c-1"
"Calle 9 Sur, 54e-61"
"Cl. 10 Sur #55a-2 a 55a-46"
"Calle 9 Sur, 60-11"
"Cl. 9 Sur # 61-63"
"Calle 9 Sur, 61180"
"Cl. 9 Sur #79c-72 Local 101"
"Urbanización Rayo De Sol (Cl 9 Sur - Kr 78c, Medellín)"
"Cl. 9 Sur #79c"
"Urbanización Rodeo De Santa María (Cl 9 Sur - Kr 79c, Medellín)"
"calle 9a sur #205 a202"
"Urbanización Rodeo Alto (Cl 9a Sur - Kr 82, Medellín)"
