RUTA C4-002
"Terminal Del Sur CIl. 9"
"carrera 65"
"Cr 65 G - Cl 14, Medellín"
"carrera 65G #17-53 a 17-1"
"CI 20 - Cr 65 C, Medellín"
"calle 20"
"Cr 52 - C! 16, Medellín"
"carrera 52 #10-167 a 10-35"
"Estación Poblado Buses Occidental"
