RUTA T4-025
"Terminal Del Sur Cll. 9"
"calle 10"
"Aeropuerto Olaya Herrera"
"Carrera 65 # 16-30"
"Carrera 65 # 16-72"
"carrera 65 #20a-53 a 20a-1"
"Carrera 65 #23-61"
"carrera 65 #24-52"
"Barrio Trininad Calle 25"
"carrera # 25-116"
"Carrera 65 # 27-26"
"calle 28 #5928"
"Carrera 65 # 28-4"
"carrera 65 # 29-56"
"Carrera 65 29 D-08"
"carrera 65 #30-2 a 30-4"
"Carrera 65 # 30-40"
"carrera 65"
"Carrera 65 # 30a-31"
"carrera 65 #32d-136 a 32d-164"
"Carrera 65 # 38-5"
"carrera 65 #39-2 a 39-66"
"Carrera 65, 3968-39110"
"Tv. 41 #63c-195 a 63c-161"
"Carrera 65, 41108-41164"
"carrera 65 #4270"
"Br. San Joaquín (Cr 65 - Cl 43, Medellín)"
"carrera 65 #44A-66"
"Br. Naranjal (Cr 65 - Cl 47d, Medellín)"
"carrera 65 #48-2 a 48-58"
"Br. Suramericana (Cr 65 - Cl 48, Medellín)"
"carrera 65 #48-124 a 48-248"
"Br. Suramericana (Cr 65 - Cl 49b, Medellín)"
"c. 50 #64b-2 a 64b-220"
"Br. Suramericana (Cl 50 - Cr 64b, Medellín)"
"c. 50"
"Carrera 57 # 49-143"
"Carrera 57 # 49-73"
"Estación Cisneros (Av. Ferrocarril - Cl 49, Medellín)"
"carrera 57 #44a-14 a 44a-72"
"Alpujarra"
"calle 44 #51-2 a 51-92"
"Carrera 48 #43-06"
"carrera 49 #44-94"
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
"carrera 49 #44A-94"
"Parque De Las Luces Calle 44, 52-70"
"calle 44 #54-96 a 54-112"
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
"carrera 54"
"Coordinadora Mercantil Calle 30a, 552-5564"
"calle 30A #58-10 a 58-140"
"Calle 30 65"
"carrera 65 #29 29"
"Calle 28 65-16"
"calle 27 #65-2 a 65-64"
"Barrio Antioquia Carrera 65, 25-41"
"carrera 65 #24-58 a 24-132"
"Carrera 65, 23a1-23a133"
"carrera 65 #23a-2 a 23a-134"
"Carrera 65, 21-9"
"carrera 65 #18-129 a 18-35"
"Aeropuerto Olaya Herrera Carrera 65, 141-14215"
"carrera 65 #14-2 a 14-216"
"Terminal Del Sur, Carrera 65, 14"
"carrera 65 #91"
"Carrera 65 8b - 91"
"calle 8B #65-44 a 65-118"
"Terminal Del Sur Cll. 9"
