RUTA 501
"Carrera 50a, 23a, Terminal Yarumito"
"Carrera. 50A #22-37 a 22-1, La Florida, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 76 Sur, Urb Los Ándes"
"Calle. 77 Sur #228, La Florida, La Estrella, Antioquia"
"Calle 77 Sur, 50a 184"
"Carrera. 50d #77 Sur 81, La Estrella, Antioquia"
"Carrera 52d, 75ab, Urb Paraná"
"Carrera. 55 #77 Sur-139 a 77 Sur-233, La Estrella, Antioquia"
"Calle 31, 61289"
"Calle. 75 AA Sur #61-507 a 61-331, Itagüí, Itagüi, Antioquia"
"Calle 31, 602"
"Calle. 31 #61-72, Itagüí, Itagüi, Antioquia"
"Calle 31, 56a, Ie John F. Kennedy"
"Calle. 31 #44-111 a 44-3, San Pio, Itagüí, Itagüi, Antioquia"
"Diagonal 40, 3266"
"Calle. 50 #46-103 a 46-47, Los Naranjos, Itagüí, Itagüi, Antioquia"
"Calle 50, 40, Estación Itagüí Buses"
"Calle. 50 #40 02, Santa Cruz, Itagüí, Itagüi, Antioquia"
"Calle 51, 412"
"Auto. S #50-331 a 50-145, Itagüí, Itagüi, Antioquia"
"Carrera 49, 522"
"Carrera. 49 #50-97 a 50-49, Los Naranjos, Itagüí, Itagüi, Antioquia"
"Carrera 52, 531"
"Diagonal. 40 #43-2 a 43-92, Germania, Itagüí, Itagüi, Antioquia"
"Diagonal 40, 3266"
"Calle 34A #46-71 a 46-1, La Independencia, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 29a2"
"Calle 29A #50, San Pio, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 23a, Terminal Yarumito"
