RUTA T4 013
Taxiger
Carrera 46 #35-20
Patio Bonito
Carrera 48 #39-20
Sena Calatrava
Carrera 49 #43-20
Esc. Maria Bernal
Calle 51 #49-20
La Aldea
Carrera 50 #48-20
Balcones De Sevilla
Calle 52 #50-18
Carrera 52a
Carrera 52A #58-20
Av. Santa Maria X Cll 72
Avenida Santa María #72-20
El Carmelo
Carrera 52 #72-20
Mayorista
Carrera 52A #60-20
Chimeneas
Avenida Guayabal #16 Sur-20
Aguacatala
Carrera 43A #14-20
Pisende
Avenida El Poblado #4-20
El Rodeo
Carrera 43A #6-20
Cristo Rey
Carrera 43A #2-20
Noel
Carrera 52 #8-20
Calle 10
Carrera 52 #10-20
Caribe Motor
Carrera 52 #14-20
Zoologico
Carrera 52 #18-20
Comfenalco Guayabal
Avenida Guayabal #22-20
Cruz Roja
Avenida Guayabal #26-20
"Br. Calle Nueva (Av. Ferrocarril - Cl 39, Medellín)"
Avenida Ferrocarril #39-20
Los Huesos 1
Carrera 50 #30-20
Calle 41 # 52-15
Calle 41 #52-15
Carrera 50 # 41-40
Carrera 50 #41-40
"Paradero Ruta 133 (Cl 49 - Cl 45, Medellín)"
Calle 49 #45-20
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
Calle 47 #46-20
