RUTA R4 005
"Vía El Pedregal, Ie Nueva Sede María Josefa Escobar"
"Vía El Pedregal #60-00"
"Vía El Pedrega, I.E María Josefa Escobar"
"Vía El Pedregal #58-20"
"La Nota"
"Carrera 58 #50-20"
"La Y"
"Carrera 57 #48-20"
"Carrera 58b, 47c1, Parroquia María Auxiliadora"
"Carrera 58B #47C1-20"
"Calle 48, 572, Sector Miranda"
"Calle 48 #57-20"
"Calle 49, I.E La Inmaculada"
"Calle 49 #55-20"
"Calle 47, Parque El Brasil"
"Calle 47 #53-20"
"Carrera 49, 48a-30"
"Carrera 49 #45A-30"
"Carrera 49, 522"
"Carrera 49 #52-20"
"Taxiger"
"Carrera 46 #35-20"
"Parq. Buses"
"Carrera 45 #33-20"
"El Hueco"
"Calle 51 #53-20"
"La Y"
"Calle 53 #55-20"
"La Nota"
"Carrera 58 #50-20"
"Vía El Pedrega, I.E María Josefa Escobar"
"Vía El Pedregal #58-20"
"Vía El Pedregal, Ie Nueva Sede María Josefa Escobar"
