RUTA T4 019
Cootrasana
Calle 42 Sur #76-18
"Calle 42 Sur, 774"
Carrera 79 #20-18
"Carrera 79, 927, Parque San Antonio De Prado"
Carrera 78 #18-20
"Itagüí-San Antonio De Prado, Colegio Empresarial"
Carrera 77 #16-18
"Itagüí-San Antonio De Prado, 12164"
Calle 11A #5 Este-18
"Calle 11a, 1 Este93"
Calle 41 Sur #4 Este-18
"Calle 41 Sur, 4 Este1"
Calle 41 Sur #5 Este-20
"Calle 41 Sur, 5 Este131"
Calle 10C #6B Este-18
"Calle 10c, 6b Este, Ie Monseñor Victor Wiedemann"
Calle 8 #7A Este-20
"Calle 8, 7a Este71"
Carrera 58 #76-18
"Carrera 58, 7c, Urb Parque Industrial Del Prado"
Avenida San Antonio #9 Este-20
"Avenida San Antonio, 10 Este2"
Carrera 12 Este #4-18
"Carrera 12 Este, Ie Ángela Restrepo Moreno"
Carrera 12 Este #5A-20
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
Carrera 12 Este #40-18
"Carrera 12 Este, 42"
Calle 36 #64-18
"Calle 36, Parroquia San Gabriel Arcángel"
Calle 36 #63-20
"Calle 36, 651"
Calle 36 #62-18
"Calle 36, 6145"
Calle 36 #58-20
"Calle 36, Estadio De Itagüí"
Carrera 50A #38-18
"Carrera 50a, Cervecería Unión"
Avenida Regional #20-20
"Av Regional, Est Itagüí, C.C Mayorca"
Avenida Regional #25-18
"Av Regional, Sofasa, Est. Envigado"
Calle 12 Sur #50E-20
"Br. Guayabal (Cl 12 Sur - Kr 50e, Medellín)"
Calle 14 Sur #49-18
Pisende
Carrera 65 #8 Sur-20
El Rodeo
Carrera 65 #4 Sur-18
Cristo Rey
Carrera 65 #6-20
Noel
Calle 10 #50-18
Calle 10
Carrera 52 #14-20
Caribe Motor
