RUTA R4 008
"Chimeneas"
"Avenida Guayabal #16 Sur-20"
"Calle 85, 501, Central Mayorista"
"Calle 85 #50-10"
"Calle 85a, 48, Cancha San Fernando"
"Calle 85A #48-20"
"Fábrica De Licores Y Alcoholes De Antioquia (Cl 12 Sur - Kr 50c, Medellín)"
"Calle 12 Sur #50C-20"
"Estación Aguacatala (Kr 48 - Cl 12 Sur, Medellín)"
"Carrera 48 #12 Sur-20"
"Br. San Fernando (Cl 89 - Kr 49, Medellín)"
"Avenida Guayabal #16 Sur-20"
"Chimeneas"
