RUTA 506
"Calle 41, 55a2"
"Calle. 40 #57-62 a 57-86, Fatima, Itagüí, Itagüi, Antioquia"
"Vda Olivares"
"Calle. 39A, Itagüi, Antioquia"
"Vía Vda Olivares, Virgen"
"Calle. 40 #55d-26 a 55d-36, Fatima, Itagüí, Itagüi, Antioquia"
"Calle 38, 562, Quebrada Doña María"
"Calle. 40 #5339, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 41-51"
"Germania, Itagüí, Itagüi, Antioquia"
"Calle 39, Éxito Itagüí"
"Diagonal. 40 #3741, Angeles, Itagüí, Itagüi, Antioquia"
"Diagonal 40, 3266"
"Avenida. Pilsen, Itagüí, Itagüi, Antioquia"
"Autopista Sur, 29a1"
"San fernando itagui"
"Diagonal 40, 3266"
"Carrera. 48 #41-4, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 41-51"
"Calle. 40 #53-32 a 53-98, Itagüí, Itagüi, Antioquia"
"Calle 38, 562, Quebrada Doña María"
"Vía Vda. Olivares, Itagüí, Itagüi, Antioquia"
"Vía Vda Olivares, Virgen"
"Calle. 40 / Olivares #12, Itagüi, Antioquia"
