RUTA R4 002
"Calle 13c Sur, Urb Alfarera"
"Carrera. 53B #13b Sur-1 a 13b Sur-57, Colinas del Sur, Medellín, Antioquia"
"Carrera 53b, 13a Sur 65"
"Carrera. 55 #12aa Sur-176 a 12aa Sur-122, Guayabal, Medellín, Antioquia"
"Carrera 55, 12aa Sur, Subestación De Energía"
"Carrera. 53 #12a Sur-46 a 12a Sur-2 Guayabal Medellín Guayabal Medellín Antioquia"
"Carrera 53bb, 11ff Sur62"
"Calle 9 Sur #56d-65 a 56d-15 Guayabal Medellín Guayabal Medellín Antioquia"
"Calle 9 Sur 52b Cancha De Arena El Rodeo"
"Avenida. Guayabal #9 Sur-1 a 9 Sur-103 Guayabal Medellín Guayaba Medellín Antioquia"
"Avenida Guayabal, 14 Sur1"
"Carrera 53 #13c Sur-133 a 13c Sur-189 Guayabal MedellínAntioquia"
"Calle 13c Sur, Urb Alfarera"
