RUTA C4 005
Est. Envigado
Carrera 43A #39 Sur-20
Capricentro
Calle 38 Sur #43A-18
Canalización
Calle 60 Sur #50-20
Calle 72
Calle 68 #52-20
"H, Santa María"
Calle 60 #53-18
"I,E, Marceliana Saldarriaga"
Calle 56 #52-18
El Guayabo
Calle 53 #51-20
Balcones De Sevilla
Calle 52 #50-18
La Aldea
Carrera 50 #48-20
Ferrara
Carrera 50 #45-20
Sena Calatrava
Carrera 49 #43-20
Terranova
Carrera 48 #41-20
Patio Bonito
Carrera 48 #39-20
Calatrava
Carrera 47 #37-20
Taxiger
Carrera 46 #35-20
Parq. Buses
Carrera 45 #33-20
El Hueco
Calle 51 #53-20
La Y
Calle 53 #55-20
El Hueco
Carrera 48 #43-20
Sena Calatrava
Carrera 49 #41-20
Esc. Maria Bernal
Calle 51 #49-20
La Aldea
Calle 53 #51-20
Balcones De Sevilla
Carrera 52 #53-20
Carrera 52a
Calle 58 #52A-20
Canalización
Calle 62 #54-20
I.E. Simón Bolívar
Calle 65 #54-20
"Calle 65, 45a1-45a59"
Carrera 43A #63-20
Est. Envigado
