RUTA R4 007
"Vía El Pedregal, Estación De Policía Los Gómez Itagüí"
Vía El Pedregal #68-20
"Calle 76, Iglesia Del Ajizal"
Calle 76 #54-20
"Calle 76, 52d, Casa Finca De Los Del Valle"
Calle 76 #52D-20
"Calle 15c Sur, Cancha El Porvenir"
Calle 15C Sur #53-20
"Carrera 53, 84a, Viviendas De Sur"
Carrera 53 #84A-20
"Calle 76, 52d, Casa Finca De Los Del Valle"
Calle 76 #52D-20
"Calle 76, Iglesia Del Ajizal"
Calle 76 #54-20
"Vía El Pedregal, Estación De Policía Los Gómez Itagüí"
