RUTA T4 010
"Calle 76 Sur, 6074"
Calle 76 Sur #60-74
"Calle 77 Sur, 61-29"
Calle 77 Sur #61-29
"Carrera 55, 77 Sur2"
Carrera 55 #77 Sur-20
"Carrera 54, 75aa Sur40"
Carrera 54 #75AA Sur-40
"Calle 31, 61289"
Calle 31 #61-289
"Calle 31, 602"
Calle 31 #60-20
"Calle 31, 56a, Ie John F. Kennedy"
Calle 31 #56A-20
"Carrera 50a, 3216"
Carrera 50A #32-16
"Carrera 50a, 342"
Carrera 50A #34-20
"Carrera 50a, Cervecería Unión"
Carrera 50A #38-20
"Calle 39, Éxito Itagüí"
Calle 39 #49-20
"Carrera 49, 42:4"
Carrera 49 #42-04
"Carrera 49, 48a-30"
Carrera 49 #48A-30
"Carrera 49, 522"
Carrera 49 #52-20
"Calle 64, 5071"
Calle 64 #50-71
Av. Santa Maria X Cll 72
Avenida Santa María #72-20
El Carmelo
Carrera 52 #72-20
"Parque De La Familia Carrera 52, 78-94"
Carrera 52 #78-94
Mayorista
Carrera 52A #60-20
Chimeneas
Avenida Guayabal #16 Sur-20
Aguacatala
Carrera 43A #14-20
Pisende
Avenida El Poblado #4-20
El Rodeo
Carrera 43A #6-20
Cristo Rey
Carrera 43A #2-20
Noel
Carrera 52 #8-20
Calle 10
Carrera 52 #10-20
Caribe Motor
Carrera 52 #14-20
Zoologico
Carrera 52 #18-20
Comfenalco Guayabal
Avenida Guayabal #22-20
Cruz Roja
Avenida Guayabal #26-20
Los Huesos 1
Carrera 50 #30-20
Carrera 50 # 41-40
Carrera 50 #41-40
Parque San Antonio
Carrera 46 #47-20
"Parque De Las Luces Calle 44, 52-70"
Calle 44 #52-70
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
Avenida Ferrocarril #42C-20
Outlet
Avenida Ferrocarril #36-20
Comfenalco Guayabal
Avenida Guayabal #22-20
La Piedra
Avenida Guayabal #18 Sur-20
Calle 14
Avenida Guayabal #14 Sur-20
JFK
Avenida Guayabal #10 Sur-20
Cristo Rey
Carrera 43A #2-20
San Rafael
Carrera 43A #6 Sur-20
"Avenida Guayabal, 10 Sur1"
Avenida Guayabal #10 Sur-01
"Avenida Guayabal, 14 Sur1"
Avenida Guayabal #14 Sur-01
Chimeneas
Avenida Guayabal #16 Sur-20
Centro De La Moda
Avenida Guayabal #20 Sur-20
"Parque De La Familia Carrera 52, 81-02"
Carrera 52 #81-02
"Calle 77a, 50-24"
Calle 77A #50-24
"Carrera 50, 751"
Carrera 50 #75-10
Calle 72
Calle 72 #50-20
I.E. Simón Bolívar
Calle 65 #54-20
"Carrera 52, 531"
Carrera 52 #53-10
"Carrera 52, 46, Centro Médico El Buen Samaritano"
Carrera 52 #46-20
"Carrera 50a, 41-51"
Carrera 50A #41-51
"Carrera 50a, 41-51"
Carrera 50A #41-51
"Carrera 50a, 3499"
Carrera 50A #34-99
"Carrera 50a, 31-26"
Carrera 50A #31-26
"Calle 31, 56a, Ie John F. Kennedy"
Calle 31 #56A-20
"Calle 31, 602"
Calle 31 #60-20
"Calle 31, 61289"
Calle 31 #61-289
"Carrera 54, 75aa Sur21"
Carrera 54 #75AA Sur-21
"Calle 77 Sur, 542"
Calle 77 Sur #54-20
"Calle 76 Sur, 6074"
