RUTA 510
"Cootrasana"
"Calle. 42 Sur # 75-66, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 774"
"Calle. 43 Sur #8-50 a 8-88, San Antonio de Prado, Medellín, Antioquia"
"Calle 43a Sur, 6a120"
"Calle. 43A Sur #6-10 a 6-90, San Antonio de Prado, Medellín, Antioquia"
"Calle 43a Sur, 610"
"Calle. 41 Sur #1-184 a 1-238, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, Colegio Empresarial"
"Itagüí-San Antonio de Prado #11a-2 a 11a-44, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, 12164"
"Carrera 69 # 38B Sur-105"
"Carrera 67, 41a Sur"
"Carrea. 67 #10-41 a 10-1, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 1a Este, Ferretería Gran Palacio"
"Calle. 41 Sur #1-184 a 1-238, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 2 Este29"
"Calle. 42 Sur # 75-32, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 3b Este1"
"Carrera. 67 #10a-117 a 10a-1, San Antonio de Prado, Medellín, Antioquia"
"Carrera 63, 1040"
"Calle. 41C Sur #6b Este-1 a 6b Este-79, San Antonio de Prado, Medellín, Antioquia"
"Calle 10c, 6b Este, Ie Monseñor Victor Wiedemann"
"Calle. 40 Sur #4-68 a 4-136, San Antonio de Prado, Medellín, Antioquia"
"Calle 8, 7a Este71"
"Calle. 48 Sur #222, San Antonio de Prado, Medellín, Antioquia"
"Carrera 58, 7c, Urb Parque Industrial Del Prado"
"Carrera. 58, San Antonio de Prado, Medellín, Antioquia"
"Avenida San Antonio, 10 Este2"
"Cl 48D Sur # 55C-2, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5a-179 a 5a-123, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5a-75 a 5a-39, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, 42"
"Cl. 36 #70-69, Itagüí, Itagüi, Antioquia"
"Calle 36, Parroquia San Gabriel Arcángel"
"Cl. 36 #65-227 a 65-199, Itagüí, Itagüi, Antioquia"
"Calle 36, 651"
"Cl. 36 #61a-71 a 61a-1, Villalia, Itagüí, Itagüi, Antioquia"
"Calle 36, 6145"
"Cl. 36 #59-137 a 59-25, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Cl. 36 #53-115 a 53-1, Itagüí, Itagüi, Antioquia"
"Carrera 50a, Cervecería Unión"
"Cra. 50A #39a-06, Germania, Itagüí, Itagüi, Antioquia"
"Calle 39, Éxito Itagüí"
"Cra. 49 #40-2 a 40-56, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 42:4"
"Cra. 49 #43-67 a 43-1, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 442"
"Cl. 50 #50-56, Villa Paula, Medellín, Itagüí, Itagüi, Antioquia"
"Carrera 49, 48a-30"
"Cl. 50 #46-03, Itagüí, Itagüi, Antioquia"
"Calle 50, 4382 Secretaría De Tránsito De Itagüí"
"Cl. 50 #41-123 a 41-1, Santa Cruz, Itagüí, Itagüi, Antioquia"
"Calle 50, 40, Estación Itagüí Buses"
"Cra. 40 #1175, Santa Cruz, Itagüí, Itagüi, Antioquia"
"Calle 51, 412"
"Auto. S #50-331 a 50-145, Itagüí, Itagüi, Antioquia"
"Carrera 49, 522"
"Cra. 49 #52-99 a 52-1, Los Naranjos, Itagüí, Itagüi, Antioquia"
"Carrera 52, 531"
"Cl. 49 #51 - 51, Villa Paula, Itagüi, Itagüí, Itagüi, Antioquia"
"Calle 49, I.E La Inmaculada"
"Cra. 50A #45-2 a 45-102, Villa Paula, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 41-51"
"Germania, Itagüí, Itagüi, Antioquia"
"Calle 36, 50a106, Cervecería Unión"
"San Javier, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Cl. 38 #40-57, Pilsen, Itagüí, Itagüi, Antioquia"
"Calle 36, 6444"
"Calle 36 # 69D-42"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Cra. 12 Este #5a-179 a 5a-123, San Antonio de Prado, Medellín, Antioquia"
"Calle 48c Sur, 11 Este, , Ie Ángela Restrepo Moreno"
"Carrera 55 # 48A Sur-7"
"Carrera 54f, 72"
"Calle. 48 Sur # 55D-7, San Antonio de Prado, Medellín, Antioquia"
"Avenida San Antonio, 10 Este2"
"Calle. 48 Sur #5-2 a 5-138, San Antonio de Prado, Medellín, Antioquia"
"Calle 8, 7b Este72"
"Carrera. 3 #13a-28 a 13a-114, San Antonio de Prado, Medellín, Antioquia"
"Carrera 60d, 82"
"Diagonal. 60E #10-2 a 10-78, San Antonio de Prado, Medellín, Antioquia"
"Calle 10c, 7 Este, Ie Monseñor Victor Wiedemann"
"Calle. 10c #6b Este-66 a 6b Este-2, San Antonio de Prado, Medellín, Antioquia"
"Calle 41 Sur, 6 Este2"
"Carrera. 63 #10b-13 a 10b-1, San Antonio de Prado, Medellín, Antioquia"
"Carrera 63, 1040"
"Calle. 10c #6b Este-67 a 6b Este-93, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 5 Este, Urb Aires Del Prado"
"Calle. 42 Sur #63b-37, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 2 Este 31"
"Calle. 42 Sur #5 Este-45 a 5 Este-91, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 2 Este30"
"Calle. 42 Sur #3b Este-164 a 3b Este-54, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 2 Este, Ferretería Gran Palacio"
"Calle. 42 Sur #2 Este-98 a 2 Este-30, San Antonio de Prado, Medellín, Antioquia"
"Carrera 67, 10a120"
"Carrera. 67 #10a-117 a 10a-1, San Antonio de Prado, Medellín, Antioquia"
"Carrera 67, 112"
"Itagüí-San Antonio de Prado #11a-46 a 11a-108, San Antonio de Prado, Medellín, Antioquia"
"Carrera 3, 13a2"
"Calle. 13aa #5-35 a 5-1, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, 12163"
"Carrera. 72 #12-59 a 12-1, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, 111"
"Carrera. 67 #10d-84 a 10d-150, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, Colegio Empresarial"
"Callle. 41 Sur #1-184 a 1-238, San Antonio de Prado, Medellín, Antioquia"
"Carrera 75, 8a1"
"Calle. 43A Sur #6-7 a 6-1, San Antonio de Prado, Medellín, Antioquia"
"Calle 43a Sur"
"Calle. 43A Sur #5-85 a 5-1, San Antonio de Prado, Medellín, Antioquia"
"Cootrasana"
