RUTA 502
Carrera 64
"carrera 64 #27a-2 a 27a-112, Itagüí, Itagüi, Antioquia"
"Carrera 64, 25, Ie Concejo Municipal De Itagüí"
Carrera 68 # 70 Sur-164
"Carrera 68, 30-09"
"Cale. 36 #65-2 a 65-198, Itagüí, Itagüi, Antioquia"
"Calle 36, 651"
"Calle. 36 #61a-71 a 61a-1, Villalia, Itagüí, Itagüi, Antioquia"
"Calle 36, 6145"
"Calle. 36 #59-137 a 59-25, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Carrera. 53AB #32-2 a 32-34, Samaria, Itagüí, Itagüi, Antioquia"
"Carrera 53ab, 31aa2"
"Calle. 31 #51-127 a 51-3, Itagüí, Itagüi, Antioquia"
"Calle 31, 56a, Ie John F. Kennedy"
"Calle. 31 #50a-2 a 50a-44, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 3216"
"Carrera. 50A #33-2 a 33-44, Camparola, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 342"
"Itagüí-San Antonio de Prado #36-59 a 36-37, San Isidiro, Itagüí, Itagüi, Antioquia"
"Carrera 50a, Cervecería Unión"
"Carrera. 50A #3833, Germania, Itagüí, Itagüi, Antioquia"
"Calle 39, Éxito Itagüí"
"Carrera. 49 #40-2 a 40-56, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 42:4"
"Carrera. 49 #43-02, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 442"
"Carrera. 49 #4414, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 48a-30"
"Calle. 50 #43-82 a 43-132, Los Naranjos, Itagüí, Itagüi, Antioquia"
"Calle 50, 40, Estación Itagüí Buses"
"Calle. 50 #40 02, Santa Cruz, Itagüí, Itagüi, Antioquia"
"Calle 51, 412"
"Calle. 51 #42-71 a 42-25, Los Naranjos, Itagüí, Itagüi, Antioquia"
"Carrera 49, 522"
"Rotonda Hospital San Vicente De Paul, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Carrera 50a, 41-51"
"Itagüí-San Antonio de Prado #37a-43 a 37a-1, San Isidiro, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 3499"
"Carrera. 50A #32-87 a 32-55, Camparola, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 31-26"
"Calle. 31 #50b-2 a 50b-32, Samaria, Itagüí, Itagüi, Antioquia"
"Calle 31, 56a, Ie John F. Kennedy"
"Calle. 31 #51-127 a 51-3, Itagüí, Itagüi, Antioquia"
"Carrera 53ab, 31aa2"
"Carrera. 57 #34-2 a 34-120, Samaria, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Calle. 36 #59-100 a 59-128, San Javier, Itagüí, Itagüi, Antioquia"
"Calle 36, 6444"
"Carrera. 70 #31-2 a 31-112, Monte Alto, Itagüí, San Antonio de Prado, Medellín, Antioquia"
"Carrera 69, 272"
"Carrera 64 #25b-2 a 25b-104, Itagüí, Itagüi, Antioquia"
"Carrera 64, 25, Ie Concejo Municipal De Itagüí"
"Carrera 64 #24a-199 a 24a-5, Itagüí, Itagüi, Antioquia"
Carrera 64
