RUTA T4 001
Cootrasana
"Calle. 42 Sur # 75B-3, San Antonio de Prado, Medellín, Antioquia"
"Calle 42 Sur, 774"
"Calle. 42 Sur # 79 - 09, San Antonio de Prado, Medellín, Antioquia"
"Carrera 79, 927, Parque San Antonio De Prado"
"Carrera. 72 #10-86 a 10-200, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, Colegio Empresarial"
"Calle. 39D Sur #1-2 a 1-108, San Antonio de Prado, Medellín, Antioquia"
"Itagüí-San Antonio De Prado, 12164"
"Carrera. 70 # 39A SUR-23, San Antonio de Prado, Medellín, Antioquia"
"Calle 11a, 1 Este93"
"Carrera. 79 #40 sur 45, San Antonio de Prado, Medellín, Antioquia"
"Calle 41 Sur, 4 Este1"
"Calle. 41 Sur #13-87 a 13-1, San Antonio de Prado, Medellín, Antioquia"
"Calle 41 Sur, 5 Este131"
"Calle. 40 Sur #4-68 a 4-136, San Antonio de Prado, Medellín, Antioquia"
"Calle 10c, 6b Este, Ie Monseñor Victor Wiedemann"
"Calle. 40 Sur #5-79 a 5-1, San Antonio de Prado, Medellín, Antioquia"
"Calle 8, 7a Este71"
"Carrera. 67 #5d-117 a 5d-1, San Antonio de Prado, Medellín, Antioquia"
"Carrera 58, 7c, Urb Parque Industrial Del Prado"
"Calle. 48 Sur, San Antonio de Prado, Medellín, Antioquia"
"Avenida San Antonio, 10 Este2"
"Calle 48D Sur # 55C-4, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, Ie Ángela Restrepo Moreno"
"Carrera. 12 Este #5a-179 a 5a-123, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Carrera. 12 Este #5a-82 a 5a-86, San Antonio de Prado, Medellín, Antioquia"
"Carrera 12 Este, 42"
"Calle. 36 #69-168 a 69-210, Itagüí, Itagüi, Antioquia"
"Calle 36, Parroquia San Gabriel Arcángel"
"Calle. 36 #65-227 a 65-199, Itagüí, Itagüi, Antioquia"
"Calle 36, 651"
"Calle. 36 #61a-71 a 61a-1, Villalia, Itagüí, Itagüi, Antioquia"
"Calle 36, 6145"
"Calle. 36 #59-100 a 59-128, San Javier, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Calle. 36 #53-115 a 53-1, Itagüí, Itagüi, Antioquia"
"Carrera 50a, Cervecería Unión"
"Carrera. 50A #39a-06, Germania, Itagüí, Itagüi, Antioquia"
"Calle 39, Éxito Itagüí"
"Carrera. 49 #40-2 a 40-56, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 42:4"
"Carrera. 49 #43-02, Germania, Itagüí, Itagüi, Antioquia"
"Carrera 49, 442"
"Carrera. 49 #46a-53 a 46a-1, Villa Paula, Itagüí, Itagüi, Antioquia"
"Carrera 49, 48a-30"
"Carrera. 48, Villa Paula, Itagüi, Itagüí, Itagüi, Antioquia"
"Carrera 49, 522"
"Carrera. 52 #58-115 a 58-3, Itagüí, Itagüi, Antioquia"
"Calle 64, 5071"
"Carrera. 52 #67-2 a 67-46, Riachuelos, Itagüí, Medellín, Antioquia"
Av. Santa Maria X Cll 72
"Carrera. 52 #72a-49 a 72a-1, El Carmelo, Itagüí, Medellín, Antioquia"
El Carmelo
"Calle. 81 #50a-2 a 50a-98, Santa Maria, Itagüí, Medellín, Antioquia"
Mayorista
"Calle. 85 #52-65 a 52-1, Itagüí, Medellín, Antioquia"
Chimeneas
"Avenida. Regional, El Poblado, Medellín, El Poblado, Medellín, Antioquia"
Aguacatala
