RUTA T4 004
"Carrera 75, Parroquia Barichara"
Carrera 73 #56 Sur-35
"Calle 56 Sur, Urb Prados Del Campo 2"
Calle 56 Sur #66-35
Calle 56 Sur
Carrera 65 #48 Sur-25
Carrera 64
Calle 36 #63-40
"Calle 36, 651"
Calle 36 #55-22
"Calle 36, 6145"
Carrera 51 #37-18
"Calle 36, Estadio De Itagüí"
Carrera 50 #40-20
"Carrera 50a, Cervecería Unión"
Carrera 49 #41-10
"Calle 39, Éxito Itagüí"
Carrera 49 #44-5
"Carrera 49, 42:4"
Carrera 49 #43-10
"Carrera 49, 442"
Carrera 49 #46-20
"Carrera 49, 48a-30"
Carrera 49 #50-18
"Carrera 49, 522"
Calle 58 #50-25
"Calle 64, 5071"
Calle 69 #52-25
Av. Santa Maria X Cll 72
Calle 60 #53-18
El Carmelo
Avenida Regional #48-18
Mayorista
Avenida Las Vegas #30-18
Chimeneas
Calle 20 Sur #48-18
Aguacatala
Calle 16 Sur #46-22
Pisende
Carrera 65 #6 Sur-20
El Rodeo
Carrera 65 #2 Sur-16
Cristo Rey
Carrera 65 #7-20
Noel
Calle 10 #50-20
Calle 10
Carrera 60 #14-20
Caribe Motor
Carrera 53 #22-20
Zoologico
Calle 25 #63-20
Comfenalco Guayabal
Avenida 33 #54-20
Cruz Roja
Calle 29 #50-20
C.C. Punto Clave. Calle 29
Calle 30 #48-22
"Bancolombia, C.C. Punto Clave"
Calle 32 #48-22
"Hospital General Avenida Palacé, 32-110"
Carrera 50 #34-25
"Est Exposiciones Carrera 50, 3532-35146"
Avenida 33 #54-20
Palacé Con Av. 33
Carrera 50 #37-20
"Autoamérica Toyota, Carrera 50, 38112-38216"
Carrera 50 #40-22
Carrera 50 # 41-40
Calle 46 #46-20
"Paradero Ruta 133 (Cl 49 - Cl 45, Medellín)"
Calle 47 #46-20
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
Calle 45 #45-20
Parque San Antonio
Carrera 43A #41-20
"Estacion Esso Carrera 43a, 41-16"
Carrera 45 #40-20
Carrera 46 40-23
Carrera 46 #38-22
Carrera 46 #38-21
Carrera 45 #32-20
"Iglesia Perpetuo Socorro Carrera 45, 301-30125"
Carrera 49 #30-20
"Carrera 50, 30-16"
Calle 18 #65-20
Comfenalco Guayabal
Calle 14 #64-20
La Piedra
Carrera 65 #8-20
Calle 14
Carrera 65 #4-20
JFK
Calle 7 Sur #65-20
Cristo Rey
Avenida Guayabal #9 Sur-20
San Rafael
Avenida Guayabal #12 Sur-20
"Avenida Guayabal, 10 Sur1"
Avenida Guayabal #11 Sur-18
"Avenida Guayabal, 14 Sur1"
Calle 22 Sur #44-20
Chimeneas
Calle 48 #50-20
Centro De La Moda
Calle 51 #52-20
C.C. Platino
Calle 53 #54-20
"I,E, Marceliana Saldarriaga"
Calle 55 #52-20
El Guayabo
Carrera 52 #53-20
"Carrera 52, 531"
Carrera 51 #40-18
"Carrera 50a, 41-51"
Calle 36 #50A-80
"Calle 36, 50a106, Cervecería Unión"
Calle 36 #54-20
"Calle 36, Estadio De Itagüí"
Calle 36 #64-20
"Calle 36, 6444"
Carrera 67 #45-20
Carrera 68
Calle 55 Sur #68-20
Calle 56 Sur
Calle 56 Sur #68-20
"Calle 56 Sur, Urb Prados Del Campo 2"
Calle 56 Sur #36-20
"Calle 56 Sur, 34"
Carrera 74 #56 Sur-20
"Carrera 75, Parroquia Barichara"
