RUTA C4 023
"Calle 85, 4279, Est Ayurá"
Calle 80 #48-18
Centro De La Moda
Calle 77A #50-20
"Calle 77a, 50-24"
Carrera 50 #74-18
"Carrera 50, 751"
Calle 72 #52-20
Calle 72
Calle 68 #51-18
Canalización
Calle 64 #50-20
I.E. Simón Bolívar
Calle 55 #50-18
"Calle 55, 50, Cc Itagüí"
Calle 52 #48-20
"Calle 50, 4382 Secretaría De Tránsito De Itagüí"
Calle 50 #42-18
