RUTA T4 014
"Taxiger"
"Cra. 59a #58g-2 a 58g-52, Itagüí, Itagüi, Antioquia"
"Patio Bonito"
"Cl. 63 # 58D-24, Terranova, Itagüí, Itagüi, Antioquia"
"Sena Calatrava"
"Av. Guayabal #9 Sur-1 a 9 Sur-103, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Esc. Maria Bernal"
"Cl. 89 #50-38, San Fernando, Itagüí, Medellín, Guayabal, Medellín, Antioquia"
"La Aldea"
"Cra. 55 #63a-80 a 63a-114, Itagüí, Itagüi, Antioquia"
"Balcones De Sevilla"
"Cra. 52, Itagüí, Itagüi, Antioquia"
"Carrera 52a"
"Cra. 52 #70-111 a 70-3, Itagüí, Medellín, Antioquia"
"Av. Santa Maria X Cll 72"
"Cra. 52 #72a-49 a 72a-1, El Carmelo, Itagüí, Medellín, Antioquia"
"El Carmelo"
"Cra. 52 #77B - 88, Santa Maria, Itagüí, Itagüi, Antioquia"
"Mayorista"
"Cra. 52D #84a-45 a 84a-1, Santa Maria II, Itagüí, Itagüi, Antioquia"
"Chimeneas"
"Av. Regional, El Poblado, Medellín, El Poblado, Medellín, Antioquia"
"Aguacatala"
"Cl 12 Sur, Guayabal, Medellín, Antioquia"
"Pisende"
"Av. 80 #65-286 a 65-390, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"El Rodeo"
"Av. 80 #4 Sur-1 a 4 Sur-125, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Cristo Rey"
"Cra. 52 #2-123 a 2-3, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Noel"
"Cra. 48 #7 151, El Poblado, Medellín, El Poblado, Medellín, Antioquia"
"Calle 10"
"Cl 10 #50-119 a 50-35, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Caribe Motor"
"AP Sur / Calz Derecha, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Zoologico"
"Cra. 54 #22a-2 a 22a-62, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Comfenalco Guayabal"
"Calle 10 #52a-18 Local 102 Centro Integral la 10, Medellín, Antioquia"
"Cruz Roja"
"Cra. 65 #31-91 a 31-1, Medellín, Belén, Medellín, Antioquia"
"Br. Calle Nueva (Av. Ferrocarril - Cl 39, Medellín)"
"Cra. 57, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Sena (Av. Ferrocarril - Cl 52)"
"Cra. 57 #45a-37 a 45a-25, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Estación Cisneros (Av. Ferrocarril - Cl 49, Medellín)"
"Cl. 48 #56-95 a 56-43, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Estación Cisneros (Av. Ferrocarril - Cl 46, Medellín)"
"Av. del Ferrocarril, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
"Cra. 54, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Outlet"
"Cra. 52 #27a - 83, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Comfenalco Guayabal"
"Cra. 52 #20-63, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"La Piedra"
"Cl. 2 Sur #65-535, Medellín, Guayabal, Medellín, Antioquia"
"Calle 14"
"Cra. 73 #95, Medellín, Belén, Medellín, Antioquia"
"JFK"
"Cl. 2 Sur #53-30 a 53-152, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Cristo Rey"
"Cra. 53 #2 Sur-1 a 2 Sur-61, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"San Rafael"
"Cra. 52 #20-63, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Avenida Guayabal, 10 Sur1"
"Guayabal"
"Avenida Guayabal, 14 Sur1"
"Avenida Guayabal #16 Sur-20"
"Centro De La Moda"
"Calle 53 #51-20"
"C.C. Platino"
"Calle 55 #52-20"
"I,E, Marceliana Saldarriaga"
"Calle 56 #53-18"
"El Guayabo"
"Calle 53 #50-20"
"Balcones De Sevilla"
"Calle 52 #49-18"
"La Aldea"
"Carrera 50 #46-20"
"Ferrara"
"Carrera 49 #44-20"
"Sena Calatrava"
"Carrera 48 #42-20"
"Terranova"
"Carrera 48 #40-20"
"Patio Bonito"
"Carrera 47 #38-20"
"Parq. Buses"
"Carrera 46 #36-20"
"Taxiger"
