RUTA T4  016
"Carrera 58, 83, Parroquia El Porvenir"
"Carrera 57 #83-20"
"Carrera 57, 842-8450"
"Calle 20 Sur #56-20"
"Chimeneas"
"Avenida Las Vegas #14 Sur-20"
"Aguacatala"
"Calle 14 Sur #48-20"
"Pisende"
"Carrera 65 #8 Sur-20"
"El Rodeo"
"Carrera 65 #3 Sur-20"
"Cristo Rey"
"Carrera 65 #6-20"
"Noel"
"Calle 10 #50-20"
"Calle 10"
"Carrera 58 #14-20"
"Caribe Motor"
"Carrera 53 #22-20"
"Zoologico"
"Calle 25 #62-20"
"Comfenalco Guayabal"
"Avenida 33 #54-20"
"Cruz Roja"
"Avenida Ferrocarril #40-18"
"Br. Calle Nueva (Av. Ferrocarril - Cl 39, Medellín)"
"Calle 40 #52-20"
"Los Huesos 1"
"Calle 41 #52-10"
"Calle 41 # 52-15"
"Carrera 50 #41-20"
"Carrera 50 # 41-40"
"Calle 46 #46-20"
"Paradero Ruta 133 (Cl 49 - Cl 45, Medellín)"
"Calle 47 #46-20"
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
"Calle 45 #45-20"
"Parque San Antonio"
"Calle 44 #50-20"
"Calle 44, San Juan"
"Calle 44 #52-20"
"Metro Salud Calle 44, 52-70"
"Calle 44 #54-20"
"Parque De Las Luces Calle 44, 52-70"
"Calle 44 #56-20"
"Parque De Las Luces"
"Calle 44 #53-20"
"Calle 44, 542-5494"
"Avenida Ferrocarril #42-20"
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
"Calle 40 #60-20"
"Outlet"
"Calle 26 #64-20"
"Comfenalco Guayabal"
"Calle 18 #65-20"
"La Piedra"
"Calle 14 #64-20"
"Calle 14"
"Carrera 65 #8-20"
"JFK"
"Carrera 65 #4-20"
"Cristo Rey"
"Calle 7 Sur #65-20"
"San Rafael"
"Avenida Guayabal #9 Sur-20"
"Avenida Guayabal, 10 Sur1"
"Avenida Guayabal #12 Sur-20"
"Avenida Guayabal, 14 Sur1"
"Carrera 57 #82-20"
"Carrera 57, 842-8450"
"Carrera 58 #83-20"
"Carrera 58, 83, Parroquia El Porvenir"
