RUTA 317IA TPC ITAGUI
Cootrasana
"Calle 42 Sur, 774"
"Calle. 42 Sur #8-32 Interior 201, San Antonio de Prado, Medellín, San Antonio de Prado, Medellín, Antioquia"
"Carrera 79, 927, Parque San Antonio De Prado"
Calle. 44 Sur #10-49 a 10-1
"Calle 44 Sur, 81"
Calle. 44 Sur #10-123 a 10-83
Carrera 78
Calle. 48 Sur #5-259 a 5-219
"Calle 48 Sur, Parque El Paraíso"
Calle. 48 Sur #5-2 a 5-138
"Calle 48 Sur, 2-60"
Calle. 48 Sur #6-48 a 6-168
Calle 48 Sur
Carrera. 1b Este #4-149 a 4-123
"Calle 4db, 2b Este, Barrio El Limonar"
Calle. 57 Sur # 64-22
"Calle 55 Sur, 60a, Iglesia Del Limonar"
"Calle. 38 #40-57, Pilsen, Itagüí, Itagüi, Antioquia"
"Carrera 62, 31, Ie Fé Y Alegría"
"Calle. 36 #51-2 a 51-32, San Isidiro, Itagüí, Itagüi, Antioquia"
"Calle 55 Sur, 56 A-32"
"Calle. 36 #70-69, Itagüí, Itagüi, Antioquia"
"Calle 36, Parroquia San Gabriel Arcángel"
"Calle. 36 #64-239 a 64-231, Itagüí, Itagüi, Antioquia"
"Calle 36, 651"
"Calle. 36 #61a-71 a 61a-1, Villalia, Itagüí, Itagüi, Antioquia"
"Calle 36, 6145"
"Calle. 36 #59-137 a 59-25, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Calle. 36 #54-115 a 54-1, Samaria, Itagüí, Itagüi, Antioquia"
"Carrera 50a, Cervecería Unión"
"Calle. 60 Sur #42 a 61, Sabaneta, Antioquia"
"Av Regional, Est Itagüí, C.C Mayorca"
"Carrera. 49a #48 -200, Zona 1, Envigado, Antioquia"
"Carrera 49a, 46a Sur94"
"Av. Regional, Zona 1, Envigado, Antioquia"
"Av Regional, Sofasa, Est. Envigado"
"Zona 1, Envigado, Antioquia"
Estación Ayurá Buses
Santa María de Los Ángeles
"Estación Aguacatala (Av Regional - Cl 12 Sur, Medellín)"
"Cra. 48 #51, El Poblado, Medellín, El Poblado, Medellín, Antioquia"
"Carrera 42, 86, Estación Aguacatala Buses"
"Auto. S, Itagüí, Medellín, Antioquia"
Estación Itagüí Buses
"Carrera 42, Itagüí, Medellín, Antioquia"
"Carrera 42, 721, C.C Capricentro"
"Carrera 42 #64a-2 a 64a-106, La Esmeralda, Itagüí, Medellín, Antioquia"
"Carrera 42, 59a, Estación Envigado Buses"
Carrera 42 # 54A-71
"Autopista Sur, Secretaría De Tránsito Itagüí"
Cootrasana
