RUTA C5-004
"Carrera. 45 #72s40"
"carrera 45 #71 sur, sabaneta, antioquia"
"Cl 71Sur #43b-22 a 43b-86"
"carrera 43a, Calle 68AS #SN"
"Carrera. 43C #67 Sur-17 a 67 Sur-77"
"Carrera. 43C, Sabaneta, Antioquia"
"Carrera. 43A #64 Sur-171 a 64 Sur-211"
"Calle. 64 Sur #39-348 a 39-376"
"Calle. 63a Sur #39a-183 a 39a-59"
"Vía Vda. Los Lomitos, Las Lomitas, Sabaneta, Antioquia"
"Calle. 62 Sur"
"Calle. 63a Sur #39a-397 a 39a-185"
"Calle. 68 Sur #45-90 a 45-120"
"Carrera. 48 #68 Sur-88 a 68 Sur-22, Sabaneta, Antioquia"
"Carrera. 49 #61 Sur-303 a 61 Sur-331"
"Carrera. 46 #74 Sur-72"
"Carrera. 45 #75b Sur-350 a 75b Sur-346"
"Carrera. 45 #65 sur 51, Sabaneta, Antioquia"
"Carrera. 45 #72s40"
