RUTA C5-003
Carrera. 45 #72s40
"Carrera. 43B #68a sur 53,"
Carrera. 43C #67S-15
Carrera. 48
Carrera. 46A #68 sur 76
Calle 72 sur Cr46A-42
Calle. 75b Sur #40 - 327
Calle. 75b Sur #40-269 a 40-83
Carrera. 40
Carrera. 30 #65 Sur-478 a 65 Sur-174
Calle 63b Sur
Carrera. 30 #68 Sur-171 a 68 Sur-257
Carrera. 45 #72s40
