RUTA C5-005
"Carrera. 49 #61 Sur-303 a 61 Sur-331"
"Carrrea. 46 #70S-74, Sabaneta, Antioquia"
"Carrera. 46 #33"
"Carrera. 46 #74 sur - 47, Sabaneta, Antioquia"
"Carrera. 46 #70S-74, Sabaneta, Antioquia"
"Calle. 72 Sur #33 a 43"
"Calle. 70ASur #35"
"Carrera. 43A #69 Sur-58 a 69 Sur-2"
"Calle. 68 Sur #45 - 83"
"Carrera. 48 #66b Sur-31 a 66b Sur-179"
"Carrera. 49 #61 Sur-303 a 61 Sur-331"
